Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
219785284,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785285,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785286,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785287,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785288,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785289,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785290,1,LSGO,ASY,M,2,12,2019,300,JK,GLWA,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785291,1,LSGO,SY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785292,1,LSGO,SY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785293,1,LSGO,SY,M,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785294,1,LSGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,445,2400,74.49,59.03,27.69,33.1,Y,Y,Y,UCD19-124,NA,12:00,180955,80F,Post
219785295,1,LSGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,430,2258,80.92,58.39,26.93,31.36,Y,Y,Y,UCD19-125,NA,12:00,171631,80F,Post
219785296,1,LSGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,426,2172,83.4,58.95,26.93,31.67,Y,Y,Y,UCD19-126,NA,12:00,171620,80F,Post
219785297,1,LSGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,436,2316,83.21,56.57,27.46,30.57,Y,Y,Y,UCD19-127,NA,12:00,171628,80F,Post
219785298,1,LSGO,ASY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785299,1,LSGO,ASY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785300,1,LSGO,ASY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785301,1,LSGO,ASY,F,3,12,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,12:00,,,Post
219785302,1,ROGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,388,1396,69.9,43.44,22.4,26.16,Y,Y,Y,UCD19-128,NA,12:00,180935,80F,Post
219785303,1,ROGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,387,1610,75.85,43.48,23.22,29.92,Y,Y,Y,UCD19-129,NA,12:00,180941,80F,Post
219785304,1,ROGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,378,1352,68.59,41.47,20.35,24.17,Y,Y,Y,UCD19-130,NA,12:00,180949,80F,Post
219785305,1,ROGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,386,1462,68.67,43.55,22.03,24.71,Y,Y,Y,UCD19-131,NA,12:00,180936,80F,Post
219785306,1,ROGO,ASY,F,3,12,2019,319,JK,COLNWR,Rocket Net,345,1114,62.33,39.22,18.94,21.53,Y,Y,Y,UCD19-133,NA,12:00,DRIB35,80B,Post
219785307,1,ROGO,ASY,F,3,12,2019,319,JK,COLNWR,Rocket Net,368,1302,67.83,37.36,19.23,21.24,Y,Y,Y,UCD19-134,NA,12:00,SAKR17,80B,Post
219785308,1,ROGO,ASY,F,3,12,2019,319,JK,COLNWR,Rocket Net,384,1290,59.98,37.96,21,23.17,Y,Y,Y,UCD19-135,NA,12:00,DRIB72,80B,Post
219745043,1,ROGO,ASY,M,3,12,2019,319,JK,COLNWR,Rocket Net,389,1506,70.82,42.48,25.08,26.33,Y,Y,Y,UCD19-132,NA,12:00,182122,80B,Post
127713651,1,ROGO,ASY,F,3,12,2019,300,JK,COLNWR,Rocket Net,362,1326,66.07,38.22,21.78,21.47,N,N,N,NA,NA,12:00,,,Post
219785309,1,GWFG,ASY,M,3,15,2019,380,JK,HAHN,Rocket Net,436,2630,74.66,50.86,24.28,24.08,Y,N,N,NA,NA,8:15,182105,80F,Post
219785310,1,GWFG,SY,F,3,15,2019,300,JK,HAHN,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,8:15,,,Post
219785311,1,LSGO,SY,F,3,15,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,16:00,,,Post
219785312,1,LSGO,SY,M,3,15,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,16:00,,,Post
219785313,1,LSGO,SY,F,3,15,2019,300,JK,COLNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,16:00,,,Post
219785314,1,LSGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,456,2426,86.59,62.18,24.26,30.9,N,N,N,NA,NA,16:00,,,Post
219785315,1,LSGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,426,1992,81.26,58.17,24.26,30.04,N,N,N,NA,NA,16:00,,,Post
219785316,1,LSGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,418,2220,82.08,58.13,23.58,29.5,Y,N,N,NA,NA,16:00,182114,80F,Post
219785317,1,LSGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,405,1830,81.17,55.06,25.3,27.74,Y,N,N,NA,NA,16:00,180953,80F,Post
219785318,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,353,1284,63.01,35.5,18.67,21.92,Y,N,N,NA,NA,16:00,182113,80F,Post
219785319,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,363,1232,66.23,38.47,19.22,22.26,Y,N,N,NA,NA,16:00,182123,80F,Post
219785320,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,350,1386,66.4,40.51,21,22,Y,N,N,NA,NA,16:00,182121,80F,Post
219785321,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,365,1286,65.87,40.23,21.49,23.17,Y,N,N,NA,NA,16:00,180938,80F,Post
219785322,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,355,1234,68.48,41.57,19.28,21.53,Y,N,N,NA,NA,16:00,182127,80F,Post
219785323,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,362,1278,68.81,40.25,19.24,20.77,Y,N,N,NA,NA,16:00,171639,80F,Post
219785324,1,ROGO,ASY,F,3,15,2019,380,JK,COLNWR,Rocket Net,357,1388,71.5,42.8,21.15,24.14,Y,N,N,NA,NA,16:00,182125,80F,Post
219785325,1,ROGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,362,1398,66.19,41.43,22.78,22.06,N,N,N,NA,NA,16:00,,,Post
219785326,1,ROGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,384,1434,71.79,41.79,20.41,24.53,N,N,N,NA,NA,16:00,,,Post
219785327,1,ROGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,386,1416,71.53,44.21,20.86,25.08,N,N,N,NA,NA,16:00,,,Post
219785328,1,ROGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,381,1372,66.93,40.4,22.19,23.96,N,N,N,NA,NA,16:00,,,Post
219785329,1,ROGO,ASY,M,3,15,2019,300,JK,COLNWR,Rocket Net,368,1498,71.75,39.58,19.95,22.06,N,N,N,NA,NA,16:00,,,Post
219785343,1,LSGO,ASY,M,7,25,2019,380,AM,COLVILLE,Molt Drive,245,2470,82.87,59.51,na,na,Y,N,N,na,na,13:15,171621,80F,Summer
219785344,1,LSGO,ASY,M,7,25,2019,380,AM,COLVILLE,Molt Drive,254,2085,78.49,55.04,na,na,Y,N,N,na,na,13:15,171623,80F,Summer
219785345,1,LSGO,ASY,M,7,25,2019,380,AM,COLVILLE,Molt Drive,272,2501,85.93,60.15,na,na,Y,N,N,na,na,13:15,171612,80F,Summer
219785346,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,255,2172,86.35,53.73,na,na,Y,N,N,na,na,20:54,191738,80F,Summer
219785347,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,231,1807,76.3,50.86,na,na,Y,N,N,na,na,20:54,191739,80F,Summer
219785348,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,295,1836,80.14,55.22,na,na,Y,N,N,na,na,20:54,191741,80F,Summer
219785349,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,311,2047,80.13,59.48,na,na,Y,N,N,na,na,20:54,182965,80F,Summer
219785350,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,256,1672,80.99,51.17,na,na,Y,N,N,na,na,20:54,171640,80F,Summer
219785351,1,LSGO,ASY,F,7,25,2019,380,AM,COLVILLE,Molt Drive,264,1750,79.07,59.99,na,na,Y,N,N,na,na,20:54,180961,80F,Summer
219785352,1,LSGO,ASY,M,7,27,2019,380,AM,COLVILLE,Molt Drive,258,2192,85.92,61.99,na,na,Y,N,N,na,na,15:00,191742,80F,Summer
219785353,1,LSGO,ASY,M,7,27,2019,380,AM,COLVILLE,Molt Drive,311,2355,84.79,64.99,na,na,Y,N,N,na,na,15:00,171635,80F,Summer
219785354,1,LSGO,ASY,M,7,27,2019,380,AM,COLVILLE,Molt Drive,273,1938,81.51,56.36,na,na,Y,N,N,na,na,15:00,191740,80F,Summer
219785355,1,LSGO,ASY,M,7,27,2019,380,AM,COLVILLE,Molt Drive,299,2041,81.7,60.04,na,na,Y,N,N,na,na,15:00,180948,80F,Summer
219785331,1,LSGO,AHY,M,7,29,2019,380,CN,Ikpikpuk,Molt Drive,224,2263,99.41,59.08,27.34,37.75,Y,N,N,na,na,,191726,80F,Summer
219785332,1,LSGO,AHY,M,7,29,2019,380,CN,Ikpikpuk,Molt Drive,312,2340,101.47,57.96,25.15,38.51,Y,N,N,na,na,,191727,80F,Summer
219785333,1,LSGO,AHY,F,7,29,2019,380,CN,Ikpikpuk,Molt Drive,240,1702,85.54,51.47,22.69,29.7,Y,N,N,na,na,,191728,80F,Summer
219785334,1,LSGO,AHY,F,7,29,2019,380,CN,Ikpikpuk,Molt Drive,255,2104,96.41,56.64,26.77,34.82,Y,N,N,na,na,,191729,80F,Summer
219785335,1,LSGO,AHY,F,7,29,2019,380,CN,Ikpikpuk,Molt Drive,275,1980,90.79,59.12,25.19,34.73,Y,N,N,na,na,,191730,80F,Summer
219785336,1,LSGO,AHY,M,7,29,2019,380,CN,Ikpikpuk,Molt Drive,359,2294,101.07,56.51,25.79,35.42,Y,N,N,na,na,,191731,80F,Summer
219785337,1,LSGO,AHY,M,7,29,2019,380,CN,Ikpikpuk,Molt Drive,316,2174,100.06,62.26,26.95,38.35,Y,N,N,na,na,,191732,80F,Summer
219785338,1,LSGO,AHY,M,7,29,2019,380,CN,Ikpikpuk,Molt Drive,270,2150,98.08,58.1,24.73,37.28,Y,N,N,na,na,,191733,80F,Summer
219785339,1,LSGO,AHY,F,7,29,2019,380,CN,Ikpikpuk,Molt Drive,253,1632,89.1,53.14,25.03,34.03,Y,N,N,na,na,,191734,80F,Summer
219785340,1,LSGO,AHY,F,7,29,2019,380,CN,Ikpikpuk,Molt Drive,255,1849,90.72,54.81,25.76,33.11,Y,N,N,na,na,,191735,80F,Summer
219785341,1,LSGO,AHY,M,7,30,2019,380,CN,Ikpikpuk,Molt Drive,264,2375,97.66,61.66,26.39,37.62,Y,N,N,na,na,,191736,80F,Summer
219785342,1,LSGO,AHY,M,7,30,2019,380,CN,Ikpikpuk,Molt Drive,354,2522,100.93,59.8,27.97,39.08,Y,N,N,na,na,,191737,80F,Summer
219785330,1,LSGO,AHY,F,7,30,2019,380,CN,Ikpikpuk,Molt Drive,281,2034,92.13,52.97,24.64,33.79,Y,N,N,na,na,,191725,80F,Summer
2197-82911,1,LSGO,ASY,M,7,22,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191750,80F,Summer
2197-82912,1,LSGO,ASY,F,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191745,80F,Summer
2197-82913,1,LSGO,ASY,F,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191748,80F,Summer
2197-82914,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191744,80F,Summer
2197-82915,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191746,80F,Summer
2197-82916,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191747,80F,Summer
2197-82917,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191749,80F,Summer
2197-82918,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182121,80F,Summer
2197-82919,1,LSGO,ASY,F,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180944,80F,Summer
2197-82920,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191755,80F,Summer
2197-82921,1,LSGO,ASY,F,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180943,80F,Summer
2197-82922,1,LSGO,ASY,M,7,23,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191753,80F,Summer
2197-82923,1,LSGO,ASY,F,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191743,80F,Summer
2197-82924,1,LSGO,ASY,F,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180950,80F,Summer
2197-82925,1,LSGO,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180954,80F,Summer
2197-82926,1,LSGO,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182111,80F,Summer
2197-82927,1,LSGO,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182112,80F,Summer
2197-82928,1,LSGO,ASY,F,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180942,80F,Summer
2197-82929,1,LSGO,ASY,M,7,24,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,180947,80F,Summer
2197-82930,1,LSGO,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191754,80F,Summer
2197-82932,1,LSGO,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191751,80F,Summer
2197-82933,1,LSGO,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,191752,80F,Summer
2197-82934,1,LSGO,ASY,F,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182127,80F,Summer
2197-82935,1,LSGO,ASY,M,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182126,80F,Summer
2197-82936,1,LSGO,ASY,F,7,26,2019,380,ER,BANKSISL,Molt Drive,,,,,,,Y,N,N,na,na,,182115,80F,Summer
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
