Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
219785369,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,1902,1902,70.69,47.77,23.39,23.79,N,N,N,NA,NA,14:00,,,Pre
219785370,1,GWFG,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,421,1986,70.26,44.58,23.87,23.21,Y,N,N,NA,NA,14:00,192593,80F,Pre
219785371,1,GWFG,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,400,1982,70.73,50.06,22.31,21.58,Y,N,N,NA,NA,14:00,180951,80F,Pre
219785372,1,GWFG,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,426,2142,74.99,49.52,23.64,23.15,Y,N,N,NA,NA,14:00,180933,80F,Pre
219785373,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,408,1770,67.16,46.68,21.75,22.3,N,N,N,NA,NA,14:00,,,Pre
219785374,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,430,1914,72.36,49.86,24.62,24.63,N,N,N,NA,NA,14:00,,,Pre
219785375,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,400,2068,75.67,52.22,23.81,23.99,N,N,N,NA,NA,14:00,,,Pre
219785376,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,405,2068,68.76,46.88,23.29,21.16,N,N,N,NA,NA,14:00,,,Pre
219785377,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,400,1980,70.09,51.18,24.76,25.17,N,N,N,NA,NA,14:00,,,Pre
219785378,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,436,2356,73.72,49.9,26.03,26.15,N,N,N,NA,NA,14:00,,,Pre
219785379,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,451,2340,75.24,53.42,25.41,26.54,N,N,N,NA,NA,14:00,,,Pre
219785380,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,436,1922,71.7,50.89,24.04,24.45,N,N,N,NA,NA,14:00,,,Pre
219785381,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785382,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785383,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785384,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785385,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785386,1,GWFG,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785387,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785388,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785389,1,GWFG,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Pre
